"county","total_itop","asian_itop","hispanic_itop","white_itop","black_itop","native_american_itop","other_itop","year","tot_pop","urban","total_rate","white_rate","black_rate","hispanic_rate","asian_rate","native_american_rate","other_rate"
"Cochran",2,0,2,0,0,0,0,2020,1299,"Rural",1.53964588144727,0,0,2.61780104712042,0,0,0
"Coke",3,0,1,2,0,0,0,2020,1674,"Rural",1.7921146953405,1.61290322580645,0,2.79329608938547,0,0,0
"Coleman",5,0,1,4,0,0,0,2020,3894,"Rural",1.28402670775552,1.31665569453588,0,1.68067226890756,0,0,0
"Collin",1625,341,262,524,441,8,45,2020,542135,"Urban",2.99740839458806,1.90897399933696,7.59585242343863,3.06895784282719,3.5686627456726,4.1515308770109,1.68337572946282
"Collingsworth",1,1,0,0,0,0,0,2020,1385,"Rural",0.72202166064982,0,0,0,333.333333333333,0,0
"Colorado",21,0,6,8,6,0,0,2020,10329,"Rural",2.03311065930874,1.35249366018597,5.18582541054451,2.04359673024523,0,0,0
"Comal",198,4,68,114,10,1,0,2020,82182,"Urban",2.40928670511791,2.14265576543558,5.68181818181818,3.05975521958243,3.44234079173838,3.3003300330033,0
"Comanche",12,0,5,6,0,0,0,2020,6796,"Rural",1.76574455562095,1.28177739799188,0,2.67809319764328,0,0,0
"Concho",5,0,2,3,0,0,0,2020,1150,"Rural",4.34782608695652,3.8860103626943,0,6.19195046439629,0,0,0
"Cooke",32,0,6,25,0,0,1,2020,21063,"Rural",1.51925176850401,1.67145818011633,0,1.44300144300144,0,0,1.03092783505155
"Coryell",95,2,17,38,23,1,2,2020,41611,"Urban",2.28305015500709,1.62455645333675,4.05858478913005,2.08512204096652,1.96078431372549,5.0251256281407,0.628733102797862
"Cottle",0,0,0,0,0,0,0,2020,709,"Rural",0,0,0,0,0,0,0
"Crane",2,0,2,0,0,0,0,2020,2310,"Rural",0.865800865800866,0,0,1.31492439184747,0,0,0
"Crockett",2,1,0,1,0,0,0,2020,1548,"Rural",1.29198966408269,1.80831826401447,0,0,250,0,0
"Crosby",4,0,2,1,1,0,0,2020,2625,"Rural",1.52380952380952,0.937207122774133,19.2307692307692,1.38504155124654,0,0,0
"Culberson",0,0,0,0,0,0,0,2020,1064,"Rural",0,0,0,0,0,0,0
"Dallam",1,0,0,1,0,0,0,2020,3342,"Rural",0.299222022740874,0.644745325596389,0,0,0,0,0
"Dallas",7325,507,2380,1113,3155,30,124,2020,1322590,"Urban",5.53837546027113,3.05299539170507,10.4165978830039,4.58012916734021,5.56323655276845,8.56408792463603,3.03363914373089
"Dawson",16,1,7,3,5,0,0,2020,5643,"Rural",2.83537125642389,1.42721217887726,29.940119760479,2.16182828906733,25.6410256410256,0,0
"DeWitt",18,0,4,12,2,0,0,2020,9487,"Rural",1.89733319279013,2.19418540866703,3.42465753424658,1.27591706539075,0,0,0
"Deaf Smith",0,0,0,0,0,0,0,2020,9250,"Rural",0,0,0,0,0,0,0
"Delta",2,0,0,1,1,0,0,2020,2675,"Rural",0.747663551401869,0.465332712889716,6.09756097560976,0,0,0,0
"Denton",1335,133,263,472,414,13,35,2020,463327,"Urban",2.88133434917456,1.91719504616297,8.11446491571933,2.83952883255417,2.78225215990628,6.78496868475992,1.47219651720367
"Dickens",1,0,1,0,0,0,0,2020,900,"Rural",1.11111111111111,0,0,4.0650406504065,0,0,0
"Dimmit",11,0,9,2,0,0,0,2020,4432,"Rural",2.48194945848375,4.51467268623025,0,2.31839258114374,0,0,0
"Donley",0,0,0,0,0,0,0,2020,1623,"Rural",0,0,0,0,0,0,0
"Duval",18,0,16,2,0,0,0,2020,4723,"Rural",3.81113698920178,5.58659217877095,0,4.03124212648022,0,0,0
"Eastland",8,0,0,8,0,0,0,2020,9019,"Rural",0.887016298924493,1.14596762641455,0,0,0,0,0
"Ector",151,2,91,37,18,1,0,2020,81227,"Urban",1.85898777500092,1.47316451664278,5.20080901473563,1.84584178498986,1.73460537727667,3.64963503649635,0
"Edwards",2,0,1,1,0,0,0,2020,710,"Rural",2.8169014084507,3.13479623824451,0,2.69541778975741,0,0,0
"El Paso",264,2,83,93,83,1,2,2020,444653,"Urban",0.593721396234817,2.06790741111333,8.10942843185149,0.220839829926724,0.363570259952736,0.980392156862745,0.282246683601468
"Ellis",281,2,219,39,20,1,0,2020,97907,"Urban",2.87007057718039,0.716951302461533,1.61108425970678,8.54534103324489,2.25479143179256,2.84900284900285,0
"Erath",53,1,9,40,2,0,0,2020,21930,"Rural",2.41678066575467,2.57449958164382,3.06748466257669,1.94300518134715,4.97512437810945,0,0
"Falls",24,0,1,12,10,0,0,2020,9505,"Rural",2.52498684902683,2.4885939444214,4.65549348230912,0.452693526482571,0,0,0
"Fannin",26,0,1,21,3,0,1,2020,16650,"Rural",1.56156156156156,1.60907210175465,4.42477876106195,0.562113546936481,0,0,1.10497237569061
"Fayette",27,0,5,16,5,0,1,2020,12528,"Rural",2.1551724137931,1.82648401826484,6.70241286863271,1.89969604863222,0,0,2.9585798816568
"Fisher",3,0,1,2,0,0,0,2020,1856,"Rural",1.61637931034483,1.58730158730159,0,2.04498977505112,0,0,0
"Floyd",2,0,1,1,0,0,0,2020,2729,"Rural",0.732869182850861,0.953288846520496,0,0.648088139987038,0,0,0
"Foard",0,0,0,0,0,0,0,2020,556,"Rural",0,0,0,0,0,0,0
"Fort Bend",1443,171,347,306,605,3,8,2020,422429,"Urban",3.41595865814137,2.50747736305158,6.75019804300044,3.41844977735745,1.83362285273113,5.20833333333333,0.518638573743922
"Franklin",11,1,4,2,3,1,0,2020,5313,"Rural",2.0703933747412,0.486854917234664,17.7514792899408,5.68990042674253,31.25,43.4782608695652,0
"Freestone",17,0,4,6,5,0,0,2020,9286,"Rural",1.8307129011415,0.943544582481522,4.11861614497529,2.97397769516729,0,0,0
"Frio",22,0,18,4,0,0,0,2020,8232,"Rural",2.67249757045675,2.85510349750178,0,2.73390036452005,0,0,0
"Gaines",3,0,2,0,1,0,0,2020,10680,"Rural",0.280898876404494,0,7.93650793650794,0.486144871171609,0,0,0
"Galveston",645,11,172,277,182,1,1,2020,179120,"Urban",3.60093791871371,2.85502257220012,8.02787702351021,3.82613338078925,1.68118600030567,1.9047619047619,0.135043889264011
"Garza",2,0,1,0,0,0,1,2020,2056,"Rural",0.972762645914397,0,0,1.20918984280532,0,0,21.7391304347826
